,0
2019-01-06,19.26015727154605
2019-01-13,2.30423586002694
2019-01-20,2.2669027548033647
2019-01-27,2.021006028862213
2019-02-03,4.983709442441508
2019-02-10,3.717786432190801
2019-02-17,3.2231292543462833
2019-02-24,2.478942465021191
2019-03-03,2.854542693845441
2019-03-10,3.1193543320430672
2019-03-17,2.4792671438470295
2019-03-24,3.3786061648376924
2019-03-31,4.164442553267091
2019-04-07,2.533525697284054
2019-04-14,3.042487741698089
2019-04-21,2.15897465886971
2019-04-28,2.2692121780184253
2019-05-05,1.776542185528081
2019-05-12,2.0438491058429418
2019-05-19,3.330559989849687
2019-05-26,3.068258658482752
2019-06-02,2.1861506515068005
2019-06-09,2.2863499260788855
2019-06-16,2.346184337481782
2019-06-23,2.6068935014620043
2019-06-30,2.5292804449566413
2019-07-07,2.7312524619921104
2019-07-14,3.1778096185496256
2019-07-21,2.6994328218801282
2019-07-28,2.653536995727574
2019-08-04,2.809630468395358
2019-08-11,4.039367424957947
2019-08-18,4.0455883731651445
2019-08-25,4.355507521686101
2019-09-01,3.3360220441745825
2019-09-08,3.6844491397112313
2019-09-15,3.7468149189192492
2019-09-22,2.871609160749071
2019-09-29,1.9990195458440692
2019-10-06,3.3271236218288234
2019-10-13,3.259058622703546
2019-10-20,2.950767786850012
2019-10-27,2.235648814909003
2019-11-03,2.9616480078872356
2019-11-10,2.4976827010279474
2019-11-17,3.0797298397948207
2019-11-24,2.2286043223677177
2019-12-01,2.246752468377005
2019-12-08,2.9119019383326052
2019-12-15,2.6543860261042003
2019-12-22,2.388058272499231
2019-12-29,3.216572191597945
2020-01-05,3.7103799045190486
2020-01-12,2.6025864499407874
2020-01-19,3.050693756890783
2020-01-26,3.84496572735247
2020-02-02,4.624289235316174
2020-02-09,3.7164054663949475
2020-02-16,4.687314533666941
2020-02-23,4.072357341439016
2020-03-01,8.860087033908407
2020-03-08,7.798616947057766
2020-03-15,20.531401818320912
2020-03-22,12.477443803359812
2020-03-29,9.051218410351973
2020-04-05,5.656964940748009
2020-04-12,5.256273014573855
2020-04-19,3.294223199361279
2020-04-26,5.924624197487233
2020-05-03,6.2378158231049365
2020-05-10,4.474133181443268
2020-05-17,3.513361381606121
2020-05-24,5.016752961696959
2020-05-31,4.683428173925817
2020-06-07,4.3664533484617
2020-06-14,4.423087557034857
2020-06-21,3.8753494819032617
2020-06-28,3.5618905074435525
2020-07-05,4.101583031061206
2020-07-12,3.854556437159979
2020-07-19,4.953672733228894
2020-07-26,2.671727231898046
2020-08-02,4.864398742645368
2020-08-09,3.6406184519042966
2020-08-16,3.859537858326282
2020-08-23,4.502048702486529
2020-08-30,4.1523860090845925
2020-09-06,4.44121715119539
2020-09-13,3.708180590466946
2020-09-20,3.2015265544171467
2020-09-27,2.8385401453687713
2020-10-04,3.243631562672214
2020-10-11,3.3168310492304163
2020-10-18,2.069073477412011
2020-10-25,2.643784130397643
2020-11-01,4.3983634756225385
2020-11-08,5.0386387660176535
2020-11-15,4.242596245678768
2020-11-22,3.768668882461438
2020-11-29,4.463529384338865
2020-12-06,5.238652143704554
2020-12-13,3.698937027989024
2020-12-20,3.1479022296166796
2020-12-27,3.112476876240909
2021-01-03,1.8544356797109094
2021-01-10,6.551409334754577
2021-01-17,5.948854822198228
2021-01-24,3.6042215104128528
2021-01-31,5.917959311366946
2021-02-07,4.760113048747335
2021-02-14,2.772216295156036
2021-02-21,3.539001027194039
2021-02-28,6.4272307417202805
2021-03-07,5.35519674772431
2021-03-14,4.669918346489115
2021-03-21,4.691401043833513
2021-03-28,5.0360981344543205
2021-04-04,4.16043360733727
2021-04-11,4.2762590545843695
2021-04-18,2.659776141237296
2021-04-25,2.6927377552017076
2021-05-02,3.6606169716309416
2021-05-09,3.500922596930612
2021-05-16,6.21048441013674
2021-05-23,4.092300744762236
2021-05-30,2.883680870065399
2021-06-06,4.811696015463327
2021-06-13,3.4452678543712394
2021-06-20,4.32607144207469
2021-06-27,3.9150761832419643
2021-07-04,3.4045356863161063
2021-07-11,2.2969916145765064
2021-07-18,3.157163996036795
2021-07-25,2.63193845704891
2021-08-01,5.217661504344928
2021-08-08,4.183949456551936
2021-08-15,2.6893609443847932
2021-08-22,4.257480981742471
2021-08-29,4.894448555476567
2021-09-05,3.30549492003055
2021-09-12,4.671878135272646
2021-09-19,3.8333479728040807
2021-09-26,4.36161765327463
2021-10-03,3.8399325373051862
2021-10-10,4.946631980819198
2021-10-17,3.6984169058081635
2021-10-24,5.506703286946324
2021-10-31,4.740317262957215
2021-11-07,5.848263094323242
2021-11-14,4.304080536694905
2021-11-21,4.747564450275853
2021-11-28,5.450409107843802
2021-12-05,4.190634613895439
2021-12-12,4.358899114463708
2021-12-19,4.036579142150868
2021-12-26,2.669221534154841
2022-01-02,1.9822211500254305
2022-01-09,4.302474036374093
2022-01-16,3.1698121756621593
2022-01-23,3.4955438345431
2022-01-30,3.208935997554075
2022-02-06,4.238296204049802
2022-02-13,3.482132989677403
2022-02-20,3.83526688369757
2022-02-27,4.521579248357458
2022-03-06,5.233414608629752
2022-03-13,7.2181852127054
2022-03-20,5.691985443945396
2022-03-27,4.051356966178012
2022-04-03,2.9618625259734666
2022-04-10,4.520136401563723
2022-04-17,2.703708781916503
2022-04-24,6.178209871469994
2022-05-01,4.392557605451812
2022-05-08,3.5645256094567523
2022-05-15,3.9857288613435897
2022-05-22,4.540890406620385
2022-05-29,3.5067441420022614
2022-06-05,3.916058363022487
2022-06-12,3.6943954169983284
2022-06-19,4.440091075067783
2022-06-26,3.264530152464308
2022-07-03,3.7013468075985565
2022-07-10,3.3886604592625837
2022-07-17,4.0799222301281555
2022-07-24,2.311075572766932
2022-07-31,2.79709753221935
2022-08-07,4.402377801484315
2022-08-14,4.015148904118897
2022-08-21,4.705833236651605
2022-08-28,4.061162229825205
2022-09-04,4.083509829918595
2022-09-11,5.503135872979083
2022-09-18,3.034068239163886
2022-09-25,4.762691590642275
2022-10-02,3.3348302798759506
