Date,Close
2010-01-04,3.2174034118652344
2010-01-05,3.2363297939300537
2010-01-06,3.269343852996826
2010-01-07,3.284696340560913
2010-01-08,3.2783865928649902
2010-01-11,3.2384321689605717
2010-01-12,3.259462356567383
2010-01-13,3.301518201828003
2010-01-14,3.3488333225250244
2010-01-15,3.3431551456451416
2010-01-18,3.3435752391815186
2010-01-19,3.348412036895752
2010-01-20,3.274390935897827
2010-01-21,3.300466775894165
2010-01-22,3.3435752391815186
2010-01-26,3.284485340118408
2010-01-27,3.249577760696411
2010-01-28,3.254204273223877
2010-01-29,3.154316663742065
2010-02-01,3.1858599185943604
2010-02-02,3.263666868209839
2010-02-03,3.312033176422119
2010-02-04,3.175344705581665
2010-02-05,3.0596885681152344
2010-02-08,3.028144836425781
2010-02-09,3.019101142883301
2010-02-10,3.038869380950928
2010-02-11,3.112259149551392
2010-02-12,3.0941739082336426
2010-02-17,3.2447400093078613
2010-02-18,3.2228713035583496
2010-02-19,3.234648466110229
2010-02-22,3.22013783454895
2010-02-23,3.1332879066467285
2010-02-24,3.1290833950042725
2010-02-25,3.163989305496216
2010-02-26,3.1360223293304443
2010-03-01,3.1732428073883057
2010-03-02,3.154316663742065
2010-03-03,3.164830446243286
2010-03-04,3.13307785987854
2010-03-05,3.0891270637512207
2010-03-08,3.10595178604126
2010-03-09,3.076300621032715
2010-03-10,3.101325035095215
2010-03-11,3.112259149551392
2010-03-12,3.091230154037476
2010-03-15,3.0849220752716064
2010-03-16,3.0939645767211914
2010-03-17,3.1017446517944336
2010-03-18,3.10805344581604
2010-03-19,3.016342163085937
2010-03-22,3.026963233947754
2010-03-23,3.012094020843506
2010-03-24,2.989365100860596
2010-03-25,3.026538372039795
2010-03-26,3.0159175395965576
2010-03-29,2.992550611495972
2010-03-30,3.021015167236328
2010-03-31,2.932012796401977
2010-04-01,2.936471462249756
2010-04-05,2.9936139583587646
2010-04-06,2.9730093479156494
2010-04-07,2.999136209487915
2010-04-08,2.9844791889190674
2010-04-09,3.005721092224121
2010-04-12,3.026963233947754
2010-04-13,3.058825969696045
2010-04-14,3.084315776824951
2010-04-15,3.138057231903076
2010-04-16,3.100672483444214
2010-04-19,3.0800673961639404
2010-04-20,3.0800673961639404
2010-04-22,3.1225504875183105
2010-04-23,3.1820285320281982
2010-04-26,3.236195802688598
2010-04-27,3.0906882286071777
2010-04-28,3.0354607105255127
2010-04-29,3.100247859954834
2010-04-30,3.1250996589660645
2010-05-03,3.041832685470581
2010-05-04,3.101308584213257
2010-05-05,3.1225504875183105
2010-05-06,3.135296583175659
2010-05-07,3.165035486221313
2010-05-10,3.1777801513671875
2010-05-11,3.186276912689209
2010-05-12,3.2051823139190674
2010-05-13,3.186276912689209
2010-05-14,3.165035486221313
2010-05-17,3.207519292831421
2010-05-18,3.165035486221313
2010-05-19,3.143794059753418
2010-05-20,3.067534208297729
2010-05-21,3.054576873779297
2010-05-24,3.141669511795044
2010-05-25,3.120426177978516
2010-05-26,2.973858594894409
2010-05-27,3.148041009902954
2010-05-28,3.1629114151000977
2010-05-31,3.128923177719116
2010-06-01,3.1544132232666016
2010-06-02,3.2393813133239746
2010-06-04,3.2710323333740234
2010-06-07,3.297796726226806
2010-06-08,3.271244764328003
2010-06-09,3.3035311698913574
2010-06-10,3.315852165222168
2010-06-11,3.299283742904663
2010-06-14,3.3139402866363525
2010-06-15,3.37532901763916
2010-06-16,3.398695230484009
2010-06-17,3.419299602508545
2010-06-18,3.415476560592652
2010-06-21,3.4305577278137207
2010-06-22,3.491096973419189
2010-06-23,3.4439406394958496
2010-06-24,3.3774542808532715
2010-06-25,3.39890718460083
2010-06-28,3.5019311904907227
2010-06-29,3.3821260929107666
2010-06-30,3.3137285709381104
2010-07-01,3.2659337520599365
2010-07-02,3.288237810134888
2010-07-05,3.25000262260437
2010-07-06,3.3275351524353027
2010-07-07,3.349414110183716
2010-07-08,3.40082049369812
2010-07-12,3.3562114238739014
2010-07-13,3.3785154819488525
2010-07-14,3.389986515045166
2010-07-15,3.3984830379486084
2010-07-16,3.4203615188598637
2010-07-19,3.4745290279388428
2010-07-20,3.477290391921997
2010-07-21,3.441178560256958
2010-07-22,3.5155253410339355
2010-07-23,3.462419986724853
2010-07-26,3.441390991210937
2010-07-27,3.4560470581054688
2010-07-28,3.467093706130981
2010-07-29,3.462632894515991
2010-07-30,3.46730637550354
2010-08-02,3.4870617389678955
2010-08-03,3.462419986724853
2010-08-04,3.448612928390503
2010-08-05,3.420149564743042
2010-08-06,3.3969967365264893
2010-08-09,3.390411376953125
2010-08-10,3.3742685317993164
2010-08-11,3.337094783782959
2010-08-12,3.358548641204834
2010-08-13,3.334969520568848
2010-08-16,3.41037917137146
2010-08-17,3.481325626373291
2010-08-18,3.483662843704224
2010-08-19,3.513401985168457
2010-08-20,3.5131893157958984
2010-08-23,3.465606451034546
2010-08-24,3.441178560256958
2010-08-25,3.401456356048584
2010-08-26,3.398695230484009
2010-08-27,3.462419986724853
2010-08-30,3.461782693862915
2010-08-31,3.547389268875122
2010-09-01,3.56225848197937
2010-09-02,3.505117893218994
2010-09-03,3.526145696640014
2010-09-06,3.4906725883483887
2010-09-08,3.5688416957855225
2010-09-09,3.5684168338775635
2010-09-10,3.524234771728516
2010-09-13,3.610901355743408
2010-09-14,3.653597831726074
2010-09-15,3.744724750518799
2010-09-16,3.7474870681762695
2010-09-17,3.7013907432556152
2010-09-20,3.742814540863037
2010-09-21,3.653597831726074
2010-09-22,3.685462236404419
2010-09-23,3.7202961444854736
2010-09-24,3.6795132160186768
2010-09-27,3.72433352470398
2010-09-28,3.747060775756836
2010-09-29,3.793801307678223
2010-09-30,3.724498748779297
2010-10-01,3.875201463699341
2010-10-04,3.8930718898773193
2010-10-05,3.971005439758301
2010-10-06,3.9613170623779297
2010-10-07,3.9880142211914062
2010-10-08,4.074775695800781
2010-10-11,4.056046009063721
2010-10-13,4.184141635894775
2010-10-14,4.198137283325195
2010-10-15,4.20889949798584
2010-10-18,4.250235557556152
2010-10-19,4.197920799255371
2010-10-20,4.2194504737854
2010-10-21,4.262508392333984
2010-10-22,4.39168119430542
2010-10-25,4.306643009185791
2010-10-26,4.1951212882995605
2010-10-27,4.0904927253723145
2010-10-28,4.0904927253723145
2010-10-29,4.160030364990234
2010-11-01,4.256694793701172
2010-11-03,4.187370300292969
2010-11-04,4.221818923950195
2010-11-05,4.250235557556152
2010-11-08,4.295015811920166
2010-11-09,4.196628570556641
2010-11-10,4.148188591003418
2010-11-11,4.1378560066223145
2010-11-12,4.144314289093018
2010-11-16,4.1537861824035645
2010-11-17,4.271334648132324
2010-11-18,4.39168119430542
2010-11-19,4.450884342193604
2010-11-22,4.516764163970947
2010-11-23,4.413209438323975
2010-11-24,4.420959949493408
2010-11-25,4.434739112854004
2010-11-26,4.413424491882324
2010-11-29,4.310946941375732
2010-11-30,4.284252166748047
2010-12-01,4.273674964904785
2010-12-02,4.297418594360352
2010-12-03,4.370802879333496
2010-12-06,4.377279758453369
2010-12-07,4.316844940185547
2010-12-08,4.357637405395508
2010-12-09,4.316844940185547
2010-12-10,4.3759846687316895
2010-12-13,4.381380081176758
2010-12-14,4.379439830780029
2010-12-15,4.446133136749268
2010-12-16,4.467933654785156
2010-12-17,4.467718601226807
2010-12-20,4.513260364532471
2010-12-21,4.602834701538086
2010-12-22,4.621181011199951
2010-12-23,4.677300930023193
2010-12-27,4.639529705047607
2010-12-28,4.640606880187988
2010-12-29,4.665428161621094
2010-12-30,4.683774471282959
2011-01-03,4.694567680358887
2011-01-04,4.695647716522217
2011-01-05,4.608231544494629
2011-01-06,4.565062046051025
2011-01-07,4.54671573638916
2011-01-10,4.531606197357178
2011-01-11,4.540239810943604
2011-01-12,4.397786140441895
2011-01-13,4.360012054443359
2011-01-14,4.285546779632568
2011-01-17,4.38699197769165
2011-01-18,4.207842826843262
2011-01-19,4.235902309417725
2011-01-20,4.205685615539551
