Date,ABEV3,BBAS3,BRAP3,CMIG4,CYRE3,DIRR3,ELET3,EQTL3,GE,ITUB4,PETR3,TEND3,VALE3
2010-01-04,3.2174034118652344,5.414906978607178,3.4459195137023926,1.923872113227844,14.371702194213867,5.177327156066895,20.12395477294922,2.4836580753326416,53.66404724121094,10.456006050109863,11.67481803894043,5.135383605957031,22.263092041015625
2010-01-05,3.2363297939300537,5.360575199127197,3.4632365703582764,1.9533100128173828,14.235112190246582,5.154717445373535,19.958871841430664,2.503246784210205,53.9419174194336,10.523768424987791,11.604743003845217,5.089202880859375,22.470638275146484
2010-01-06,3.269343852996826,5.367820262908936,3.497868299484253,1.9165153503417969,14.252925872802734,5.109501361846924,19.70326232910156,2.4766616821289062,53.66404724121094,10.432554244995115,11.719671249389648,5.089202880859375,22.94624900817871
2010-01-07,3.284696340560913,5.369630813598633,3.54115891456604,1.898115277290344,13.979748725891112,5.154717445373535,20.16122817993164,2.448676586151123,56.44276809692383,10.32569980621338,11.649591445922852,5.061492919921875,23.041379928588867
2010-01-08,3.2783865928649902,5.400418758392334,3.5844497680664062,1.89627468585968,13.955995559692385,5.163761615753174,20.502037048339844,2.4850568771362305,57.65845489501953,10.169325828552246,11.562695503234863,4.950658321380615,23.266212463378903
2010-01-11,3.238432168960572,5.442068576812744,3.606093406677246,1.8950477838516235,14.092583656311035,5.154717445373535,20.18253326416016,2.4794604778289795,58.21418380737305,10.080714225769045,11.573911666870115,4.89523983001709,23.1970329284668
2010-01-12,3.259462356567383,5.396796703338623,3.636398315429688,1.9042444229125977,14.324191093444824,5.132110118865967,19.99614715576172,2.46406888961792,58.24895095825195,9.98690128326416,11.428150177001951,4.987603664398193,23.132173538208008
2010-01-13,3.301518201828003,5.46561336517334,3.636398315429688,1.9079269170761108,14.10446071624756,5.114022254943848,20.18785285949707,2.4318859577178955,58.45734405517578,10.018177032470703,11.32443618774414,4.913712024688721,23.41754150390625
2010-01-14,3.3488333225250244,5.387738227844238,3.679687976837158,1.86438250541687,13.973812103271484,5.267759799957275,19.863018035888672,2.3647220134735107,58.00580596923828,9.88003635406494,11.14223289489746,4.959893703460693,23.413219451904297
2010-01-15,3.3431551456451416,5.297191143035889,3.636398315429688,1.8337171077728271,13.801587104797363,5.245151996612549,19.1654109954834,2.346531867980957,57.10272979736328,9.713248252868652,11.209510803222656,4.959893703460693,23.11055564880371
2010-01-18,3.3435752391815186,5.2990007400512695,3.636398315429688,1.7969229221343994,13.647180557250977,5.236108303070068,19.17074203491211,2.3591253757476807,,9.799251556396484,11.46458625793457,4.913712024688721,23.43483543395996
