stock,period,modelo,retorno_no_stop,acerto_no_stop,sharpe_no_stop,drawdown_no_stop,capital_no_stop,retorno_stop,acerto_stop,sharpe_stop,drawdown_stop,capital_stop,retorno_bh,capital_bh,dias_bh
ITUB4,pre_pandemia,RegressaoLinear,-0.0012282752990722,0.5040983606557377,-0.011581401714693,0.0050510039337676,99877.17247009276,0.0040899817276,0.5040983606557377,0.0422085230741198,0.0035633830155848,100408.99817276,0.0012282752990722,100122.82752990724,245
ITUB4,durante_pandemia,RegressaoLinear,0.0030806503295898,0.511002444987775,0.013339130785705,0.011014208077523,100308.06503295898,0.031632668800354,0.511002444987775,0.1689485002068264,0.0041129739662272,103163.2668800354,-0.0030806503295898,99691.93496704102,410
ITUB4,pos_pandemia,RegressaoLinear,0.001097032546997,0.5075187969924813,0.0092216415397394,0.0071716253430451,100109.7032546997,0.0075655556106567,0.5075187969924813,0.0690368795174757,0.0048186860964561,100756.55556106567,-0.001097032546997,99890.2967453003,267
PETR3,pre_pandemia,RegressaoLinear,-0.0013201007843017,0.4672131147540984,-0.030998564338094,0.0022767509076677,99867.98992156982,0.0015532898902893,0.4672131147540984,0.0410499241690622,0.0014538141927162,100155.32898902892,0.0018779706954956,100187.79706954956,248
PETR3,durante_pandemia,RegressaoLinear,0.0005588254928588,0.4743276283618582,0.0049787256158947,0.0067888345484321,100055.88254928587,0.0141715574932098,0.4743276283618582,0.1480175529077977,0.0019016809870747,101417.15574932098,-0.0006301403045654,99936.98596954346,413
PETR3,pos_pandemia,RegressaoLinear,-0.0092113885879516,0.4473684210526316,-0.0967798389850812,0.0132276772245872,99078.86114120483,0.002161833114624,0.4473684210526316,0.0279347567978197,0.0042893510224979,100216.1833114624,0.0090680828094482,100906.80828094482,270
VALE3,pre_pandemia,RegressaoLinear,-0.0017496337890625,0.4754098360655737,-0.0091232254577848,0.0083314090103133,99825.03662109376,0.0124391206741333,0.4754098360655737,0.0716375410186821,0.0042591505348488,101243.91206741332,0.0022615871429443,100226.15871429443,248
VALE3,durante_pandemia,RegressaoLinear,-0.0356063117980957,0.4841075794621027,-0.0692498619093574,0.0608328240810633,96439.36882019044,0.0335787031555175,0.4841075794621027,0.0824885693063612,0.0159465895826379,103357.87031555176,0.0353948211669921,103539.48211669922,413
VALE3,pos_pandemia,RegressaoLinear,0.0103541145324707,0.5225563909774437,0.0253367461687831,0.0329083151716891,101035.41145324708,0.0573584313964843,0.5225563909774437,0.1727154620657868,0.0111601491804825,105735.84313964844,-0.0116277656555175,98837.22343444824,270
BBAS3,pre_pandemia,RegressaoLinear,-0.0028263473510742,0.4918032786885246,-0.035432248948959,0.0038475264286553,99717.36526489258,0.0038491113853454,0.4918032786885246,0.0561812160855648,0.0028179563849449,100384.91113853456,0.0027862243652343,100278.62243652344,248
CYRE3,pre_pandemia,RegressaoLinear,-0.0119226646423339,0.4344262295081967,-0.135728915492673,0.0127323070211484,98807.7335357666,-0.0014791401863098,0.4344262295081967,-0.0205675879820264,0.0053321369212589,99852.08598136902,0.0119451103210449,101194.51103210448,248
BBAS3,durante_pandemia,RegressaoLinear,0.0069728984832763,0.5061124694376528,0.0436944962812213,0.006756614287495,100697.28984832764,0.0253897356605529,0.5061124694376528,0.1964159848546596,0.0025817295267033,102538.9735660553,-0.0074053592681884,99259.46407318117,413
CYRE3,durante_pandemia,RegressaoLinear,0.0081564331054687,0.508557457212714,0.0269167564807552,0.0154513884734055,100815.64331054688,0.0551097220611572,0.508557457212714,0.2268599575303274,0.0028116808989398,105510.97220611572,-0.006961124420166,99303.8875579834,413
BBAS3,pos_pandemia,RegressaoLinear,-0.0048093938827514,0.4699248120300752,-0.068739752125764,0.0076432693778092,99519.06061172484,0.0013129764747619,0.4699248120300752,0.0222111115301874,0.0035769114810403,100131.2976474762,0.0044904136657714,100449.04136657716,270
CYRE3,pos_pandemia,RegressaoLinear,0.0013188199996948,0.5375939849624061,0.0117320774008793,0.0052477473765235,100131.88199996948,0.0197926399421691,0.5375939849624061,0.2358995554960598,0.0017392435468154,101979.26399421692,-0.0017994260787963,99820.05739212036,270
TEND3,pre_pandemia,RegressaoLinear,-0.0127611789703369,0.4590163934426229,-0.117069800815263,0.0138465811114058,98723.88210296632,0.0011911096572875,0.4590163934426229,0.0139920551397703,0.0065109744636723,100119.11096572876,0.013630443572998,101363.0443572998,248
DIRR3,pre_pandemia,RegressaoLinear,-0.0052594661712646,0.4467213114754098,-0.1326497946664999,0.0053834158421428,99474.05338287354,-0.0002549045658111,0.4467213114754098,-0.0080123855220754,0.0019962896532776,99974.50954341888,0.0052725372314453,100527.25372314452,248
TEND3,durante_pandemia,RegressaoLinear,0.0112253437042236,0.5501222493887531,0.0319121985708671,0.0161226207682109,101122.53437042236,0.0589517932891845,0.5501222493887531,0.2028010041600874,0.0049766921471858,105895.17932891846,-0.0102145919799804,98978.54080200195,413
DIRR3,durante_pandemia,RegressaoLinear,0.0008978033065795,0.508557457212714,0.0068894333573736,0.0076504055110177,100089.78033065796,0.0200254522800445,0.508557457212714,0.1883557795800288,0.002563306799034,102002.54522800446,-0.0009827499389648,99901.72500610352,413
TEND3,pos_pandemia,RegressaoLinear,0.0119646649360656,0.5451127819548872,0.0913324316862922,0.0036650487144641,101196.46649360655,0.0329318160057067,0.5451127819548872,0.3232332049733584,0.0014894082910303,103293.18160057068,-0.0124575543403625,98754.24456596376,270
