stock,period,modelo,mse,rmse,mae,r2,retorno_no_sl,acerto_no_sl,sharpe_no_sl,drawdown_no_sl,capital_no_sl,retorno_sl,acerto_sl,sharpe_sl,drawdown_sl,capital_sl,retorno_bh,capital_bh,dias_bh
ITUB4,pre_pandemia,ARIMA,0.37836982216560483,0.6151177303294101,0.3690438990841719,0.72269861510725,-0.0071743507385253905,0.5020242914979757,-0.06704635473975933,0.012549692624307614,99282.56492614746,-0.0056716269111633305,0.5020242914979757,-0.05471039714977488,0.011571243049321491,99432.83730888367,0.0012668800354003907,100126.68800354004,248
ITUB4,durante_pandemia,ARIMA,0.5092208480878729,0.7135971188898348,0.4458478582521136,0.9427384747110027,0.013187177658081055,0.5266990291262136,0.056807626740575184,0.009053205992991283,101318.7177658081,0.02662292755126953,0.5266990291262136,0.12909676194579367,0.00607642935212245,102662.29275512695,-0.004545431137084958,99545.4568862915,413
ITUB4,pos_pandemia,ARIMA,0.2749945356777356,0.5243992140323397,0.31182755245415905,0.9144801504668396,0.00961745262145996,0.5055762081784386,0.07988719080453292,0.006262870875564926,100961.745262146,0.010760658550262451,0.5055762081784386,0.09110588439894324,0.006098897819435191,101076.06585502625,-0.001863943099975586,99813.60569000244,270
BBAS3,pre_pandemia,ARIMA,0.2532472735101269,0.5032367966575247,0.27349868658079246,0.6906391992201145,0.00527202033996582,0.5182186234817814,0.06577020634472941,0.0034017063194810237,100527.20203399658,0.006999435768127441,0.5182186234817814,0.09144539990542266,0.0028454762275042485,100699.94357681274,0.0027862243652343717,100278.62243652344,248
BBAS3,durante_pandemia,ARIMA,0.35693746562803547,0.5974424370833021,0.2748649642066793,0.9201097115729998,0.004423944473266601,0.5,0.027585663614317326,0.006832498442253249,100442.39444732666,0.01556940923690796,0.5,0.11392744017116135,0.004303950833329206,101556.9409236908,-0.007405359268188477,99259.46407318115,413
BBAS3,pos_pandemia,ARIMA,0.08164480671209454,0.2857355538117273,0.20465426339353673,0.9776339528232513,-0.0005442104339599609,0.49814126394052044,-0.007657228920755463,0.008025617544745414,99945.578956604,0.0023580826187133788,0.49814126394052044,0.03674515100138029,0.006004064711587988,100235.80826187134,0.004490413665771486,100449.04136657715,270
CYRE3,pre_pandemia,ARIMA,0.16088443721488713,0.4011040229353068,0.2903704564241487,0.9884873500393366,1.2231826782226563e-05,0.46963562753036436,0.00013702932350943307,0.004519061104231169,100001.22318267822,0.0033114276695251463,0.46963562753036436,0.03996504003175488,0.0038310807586191707,100331.14276695251,0.01194511032104492,101194.51103210449,248
CYRE3,durante_pandemia,ARIMA,1.1739799836037614,1.0835035688006576,0.5702067231580205,0.9275481068295304,0.013380876541137695,0.5194174757281553,0.04383779663996463,0.008866483042507773,101338.08765411377,0.04400611513137817,0.5194174757281553,0.18182696467353315,0.0035714748922824995,104400.61151313782,-0.006961124420166012,99303.8875579834,413
CYRE3,pos_pandemia,ARIMA,0.4565786289365206,0.675706022569372,0.3524783844684771,0.8269317395129259,0.001206120491027832,0.4758364312267658,0.010592713228578294,0.0070982073624604345,100120.61204910278,0.009719349374771117,0.4758364312267658,0.0976677729685933,0.004245964970197301,100971.93493747711,-0.0017994260787963868,99820.05739212036,270
TEND3,pre_pandemia,ARIMA,0.3421421662815324,0.5849291976654374,0.36948578285705946,0.9746305136971448,0.002101753234863281,0.5182186234817814,0.01896412979798141,0.005542256853563626,100210.17532348633,0.0060494028949737546,0.5182186234817814,0.059084002888175294,0.00445675453820579,100604.94028949738,0.013630443572998047,101363.0443572998,248
