stock,period,MSE,RMSE,MAE,R2,retorno_no_stop,acerto_no_stop,sharpe_no_stop,drawdown_no_stop,capital_no_stop,retorno_stop,acerto_stop,sharpe_stop,drawdown_stop,capital_stop,retorno_bh,capital_bh,dias_bh
ITUB4,pre_pandemia,4.590139751595546e-05,0.0067750570120077,0.0053678345490754,0.9999663578921818,0.001028486251831,0.5204918032786885,0.0096998138952501,0.0091599306407128,100102.8486251831,0.0025077145195007,0.5204918032786885,0.0244335349774041,0.008133754718311,100250.77145195007,0.0012668800354003,100126.68800354004,248
BBAS3,pre_pandemia,0.0019073429091136,0.0436731371567658,0.0422129493185899,0.997639454248221,-0.0027734241485595,0.4918032786885246,-0.0347622919298627,0.0038471151950346,99722.65758514404,-2.2848129272460936e-05,0.4918032786885246,-0.0003084473739585,0.0037544113986077,99997.71518707275,0.0027862243652343,100278.62243652344,248
CYRE3,pre_pandemia,0.0033996912015415,0.058306870963391,0.0488162527972653,0.999752977797576,-0.0096403846740722,0.4549180327868852,-0.1095117179187406,0.0111477827084578,99035.96153259276,-0.0059456654930114,0.4549180327868852,-0.0736708572639645,0.0079546649090829,99405.43345069884,0.0119451103210449,101194.51103210448,248
TEND3,pre_pandemia,0.0102030878764902,0.1010103354934048,0.08256509600579,0.999223234052507,0.016995750427246,0.5286885245901639,0.1565669224984182,0.0044409173640761,101699.5750427246,0.0183872527599334,0.5286885245901639,0.1733621960526843,0.0038390596100808,101838.72527599336,0.013630443572998,101363.0443572998,248
DIRR3,pre_pandemia,9.666992940861994e-05,0.0098320867270696,0.0084761159804811,0.9999521418298336,-0.0047496547698974,0.4508196721311475,-0.1202584716019922,0.0056972482223448,99525.03452301024,-0.0027191127157211,0.4508196721311475,-0.0763454924522504,0.0039583426069229,99728.08872842789,0.0052725372314453,100527.25372314452,248
ELET3,pre_pandemia,0.0058100778969373,0.0762238669770654,0.0659123188953917,0.9994728476868744,-0.0163447303771972,0.4508196721311475,-0.0780371999957776,0.0222039189157845,98365.52696228027,0.0019323982048034,0.4508196721311475,0.0110538675921013,0.0118821124025645,100193.23982048036,0.0118578510284423,101185.78510284424,248
EQTL3,pre_pandemia,0.0005425629891074,0.0232929815418164,0.0186778053369817,0.999828426177726,0.0060139589309692,0.5122950819672131,0.1039583402410785,0.0021792087292841,100601.39589309692,0.0061364325904846,0.5122950819672131,0.1065814201488298,0.0021149276301618,100613.64325904846,0.0072425460815429,100724.2546081543,248
CMIG4,pre_pandemia,6.140839991748188e-05,0.0078363511864567,0.0076871465724878,0.9982620816289268,-0.0001534116268157,0.4754098360655737,-0.0092764279482882,0.0008242037621583,99984.65883731842,0.0001754125213623,0.4754098360655737,0.0110977055968314,0.0006296469047737,100017.54125213625,6.155061721801802e-05,100006.1550617218,248
PETR3,pre_pandemia,0.0004140541976249,0.020348321739764,0.0196829223816092,0.9983688869829224,-0.0016589298248291,0.4631147540983606,-0.0387642020599173,0.0022773966910154,99834.10701751708,-0.0006526824474334,0.4631147540983606,-0.0160096526648475,0.0020264108098586,99934.73175525664,0.0018779706954956,100187.79706954956,248
BRAP3,pre_pandemia,8.579293668378976e-05,0.0092624476615951,0.006578926288904,0.9996760837610678,0.0001501631736755,0.5,0.0047061400345852,0.0018865978047399,100015.01631736755,0.0012628397750854,0.5,0.0425989779260845,0.001677412431086,100126.28397750854,0.0019613771438598,100196.137714386,248
ITUB4,durante_pandemia,7.387742495435398e-05,0.0085951977844814,0.0066709266991689,0.9999914699671456,0.0033967304229736,0.5183374083129584,0.0146874595860319,0.0067889021650653,100339.67304229736,0.0188512109756469,0.5183374083129584,0.0936670852134837,0.0049438595093801,101885.1210975647,-0.0045454311370849,99545.4568862915,413
BBAS3,durante_pandemia,0.0008607892596301,0.0293392102761834,0.0257347237026502,0.999798936830986,0.0053653602600097,0.5061124694376528,0.0336039502117684,0.0079221807831397,100536.53602600098,0.0176687832927703,0.5061124694376528,0.1301215508047936,0.003220615710056,101766.87832927704,-0.0074053592681884,99259.46407318117,413
CYRE3,durante_pandemia,0.0075140066880537,0.0866833703085762,0.0758570778494729,0.9995350954621034,-0.0138878574371337,0.4865525672371638,-0.0458660184250271,0.0246745112386927,98611.21425628662,0.0249195164489746,0.4865525672371638,0.1052145301410794,0.0061735045511148,102491.95164489746,-0.006961124420166,99303.8875579834,413
TEND3,durante_pandemia,0.0289571186600748,0.1701679131331018,0.1328701443534115,0.9983960042611808,-0.0214699096679687,0.4229828850855746,-0.0610496465544826,0.0298872760113917,97853.00903320312,0.0105259479713439,0.4229828850855746,0.0371958855579489,0.0130246386439985,101052.5947971344,-0.0102145919799804,98978.54080200195,413
DIRR3,durante_pandemia,0.0002617490448522,0.0161786601686382,0.014653133491669,0.9999063300520667,0.0020474052429199,0.5061124694376528,0.0157279560034513,0.0081843444049096,100204.740524292,0.0131929912281036,0.5061124694376528,0.1150482168398442,0.0039345708907095,101319.29912281036,-0.0009827499389648,99901.72500610352,413
ELET3,durante_pandemia,0.0065364349160746,0.0808482214774983,0.0693310174372084,0.9998324707618522,-0.0147421569824218,0.4987775061124694,-0.0355094311849705,0.0305349311392993,98525.7843017578,0.0365598067092895,0.4987775061124694,0.1133486135778741,0.0086482883960062,103655.98067092896,0.003383581161499,100338.3581161499,413
EQTL3,durante_pandemia,0.0018560474402248,0.0430818690428451,0.0331544207181622,0.9996633311909144,0.0196274223327636,0.5427872860635696,0.0991154734902092,0.0060635145549339,101962.74223327637,0.0288052443790435,0.5427872860635696,0.1631045845322367,0.002950569283046,102880.52443790436,0.0026099128723144,100260.99128723145,413
CMIG4,durante_pandemia,6.63185304733587e-05,0.0081436190034504,0.0073679207842987,0.99986200255801,0.0010132427215576,0.491442542787286,0.0242625018711496,0.0026737625357651,100101.32427215576,0.0033487659096717,0.491442542787286,0.0881064326407643,0.0013422622785682,100334.87659096718,0.0009702434539794,100097.02434539796,413
